CustomerID,InvoiceNo,Basket Price,categ_0,categ_1,categ_2,categ_3,categ_4,InvoiceDate
12347,537626,711.79,124.44,187.2,293.35,23.400000000000002,83.4,2010-12-07 14:57:00.000001024
12347,542237,475.39,38.25,130.5,169.2,84.34,53.10000000000001,2011-01-26 14:29:59.999999744
12347,549222,636.25,38.25,330.90000000000003,115.0,81.0,71.10000000000001,2011-04-07 10:42:59.999999232
12347,556201,382.52,19.9,74.39999999999999,168.76,41.39999999999999,78.06,2011-06-09 13:01:00.000000256
12348,539318,892.8000000000001,240.0,174.0,0.0,478.79999999999995,0.0,2010-12-16 19:09:00.000000000
12348,541998,227.43999999999997,40.0,0.0,0.0,187.43999999999997,0.0,2011-01-25 10:42:00.000000000
12348,548955,367.0,40.0,310.0,0.0,17.0,0.0,2011-04-05 10:47:00.000000000
12350,543037,334.40000000000003,40.0,162.0,0.0,39.099999999999994,93.30000000000001,2011-02-02 16:01:00.000000000
12352,544156,296.49999999999994,139.5,75.6,53.5,10.2,17.700000000000003,2011-02-16 12:32:59.999999744
12352,545323,144.35,109.7,19.799999999999997,14.850000000000001,0.0,0.0,2011-03-01 14:57:00.000000000
12352,545332,840.3,840.3,0.0,0.0,0.0,0.0,2011-03-01 15:52:00.000000000
12352,547390,160.32999999999998,40.0,70.07999999999998,14.850000000000001,0.0,35.400000000000006,2011-03-22 16:08:00.000000000
12353,553900,89.0,59.699999999999996,11.6,0.0,0.0,17.700000000000003,2011-05-19 17:47:00.000000000
12354,550911,1079.4,251.99999999999997,352.12,194.95,161.38000000000002,118.95000000000002,2011-04-21 13:10:59.999998720
12355,552449,459.4,45.4,244.8,116.1,0.0,53.10000000000001,2011-05-09 13:49:00.000000000
12356,541430,2271.6200000000003,913.68,717.64,204.0,223.6,212.7,2011-01-18 09:49:59.999998976
12356,549435,481.46,94.8,118.11,0.0,174.14999999999998,94.4,2011-04-08 12:33:00.000000512
12358,559707,484.85999999999996,401.40000000000003,50.76,15.0,0.0,17.700000000000003,2011-07-12 10:04:00.000000000
12359,540946,547.5,393.1,16.8,76.5,8.4,52.7,2011-01-12 12:43:00.000000000
12359,543370,1803.1100000000006,1178.0,146.70000000000002,242.14999999999998,97.56000000000002,138.7,2011-02-07 14:50:59.999998464
